game,method,score
Asterix,MQ(h=1),"Float32[190.0, 275.14563, 403.13226, 640.0, 735.4386, 1202.1978, 2056.9673, 2506.1904, 2643.8054, 2649.1453, 2729.6611, 2860.2803, 2720.1836, 2796.93, 3188.7754, 3480.0, 5219.8413, 4887.1797, 5466.4287, 5318.0557, 6122.561, 5907.7383, 6369.62, 7358.3335, 7859.4204, 7991.781, 7776.3516, 8536.956, 10608.654, 10341.804, 11132.308, 11460.448, 9965.873, 8573.81, 17459.434, 22230.0, 20168.367, 23153.125, 23609.184, 29636.957, 32056.818, 30217.021, 35245.24, 32138.373, 24781.482, 33829.348, 21190.566, 26457.0, 34178.41, 38089.023, 47772.367, 39013.953, 35865.305, 52212.164, 43122.727, 53832.895, 39143.617, 60897.297, 58982.434, 68761.43, 48816.668, 52020.51, 67061.766, 66442.65, 79071.875, 69498.57, 62458.57, 72008.82, 86351.664, 73334.29, 101875.0, 138072.92, 84266.13, 134988.0, 71991.664, 60506.758, 108933.336, 143968.0, 153325.0, 170267.39, 164864.58, 208044.73, 111843.1, 232365.0, 246294.73, 211138.64, 290247.22, 292358.34, 120681.25, 260337.5, 269110.53, 131914.06, 149837.5, 240072.5, 251478.95, 318846.88, 269321.06, 292315.78, 238170.45, 160229.31, 284638.25, 280455.88, 184768.19, 266031.6, 267765.0, 95666.25, 260805.0, 195697.92, 192195.66, 316375.0, 302975.0, 303555.56, 127795.586, 326979.4, 221034.78, 288018.4, 240654.77, 308467.66, 283057.9, 265407.5, 307402.78, 340093.75, 318811.75, 263097.5, 357963.34, 317276.47, 255252.94, 328064.72, 140074.19, 232257.14, 304280.56, 222072.73, 261833.33, 346296.88, 280897.38, 280927.5, 301379.4, 258581.58, 247809.53, 214996.0, 202008.33, 249675.0, 357340.62, 275221.06, 254811.9, 310808.34, 311816.66, 309172.22, 310466.66, 407083.34, 351406.66, 324581.25, 274670.0, 267205.0, 337384.38, 301207.9, 320261.12, 187237.03, 413270.0, 356446.88, 306526.3, 419464.28, 353652.94, 206642.0, 165506.89, 398013.34, 388776.66, 184869.05, 370675.0, 234861.36, 366797.06, 403086.66, 332564.72, 361255.88, 465310.72, 303847.22, 220152.17, 254356.52, 252864.28, 416350.0, 269511.9, 467800.0, 345488.88, 383178.12, 480823.06, 287065.0, 422103.12, 267269.06, 397403.12, 227881.25, 486015.38, 353917.66, 499935.72, 200156.25, 483210.72, 416757.16, 405781.25, 345279.4, 203263.05, 298527.5]"
Asterix,MQ(h=1),"Float32[155.55556, 268.8492, 323.8095, 522.3154, 961.73914, 1585.5704, 1618.6957, 2419.7114, 2859.375, 2936.6335, 2881.9048, 3261.111, 2962.3809, 4114.835, 4093.0232, 5972.9507, 6391.4062, 5330.46, 4832.6733, 6079.7295, 4644.737, 6771.0845, 7448.6113, 7712.143, 7483.7837, 7115.625, 7898.0264, 8281.884, 7530.5557, 9136.111, 8539.61, 11544.203, 9996.622, 7807.471, 19098.04, 14428.688, 17455.172, 20161.32, 20346.363, 28489.797, 31284.445, 25644.117, 34066.668, 35400.0, 36497.676, 35941.11, 30198.98, 35518.086, 30423.469, 44772.5, 38872.223, 37294.316, 38491.49, 53785.527, 47076.25, 55684.21, 49830.0, 61752.855, 51767.074, 68727.94, 27726.852, 50898.75, 49715.117, 39656.668, 86536.664, 89131.664, 62100.0, 90923.336, 73713.234, 99727.78, 70839.48, 82675.0, 120564.0, 80500.0, 116120.0, 93880.0, 90766.13, 92367.74, 163404.34, 166866.67, 181883.33, 119792.86, 134653.84, 91388.57, 201600.0, 128694.445, 142644.0, 209377.27, 65533.723, 142474.08, 168936.95, 189287.5, 118112.5, 263910.53, 160122.0, 189191.3, 238775.0, 97673.53, 122948.0, 262344.44, 221542.86, 184094.23, 269450.0, 246757.14, 231188.1, 246845.23, 183097.92, 307858.34, 214342.86, 274407.9, 282855.25, 200502.27, 293166.66, 191210.0, 40629.09, 313971.88, 101594.59, 174400.0, 317514.72, 259395.0, 290389.47, 304544.44, 294102.78, 271715.78, 299222.22, 223654.34, 357531.25, 311829.4, 342738.25, 318247.06, 362462.5, 330220.6, 237468.19, 312625.0, 255995.0, 386503.34, 141298.33, 343806.25, 225359.53, 368326.66, 227558.7, 112547.06, 282871.06, 222376.1, 348393.75, 297713.16, 317586.84, 215290.0, 348773.53, 249186.36, 264388.1, 394693.34, 239952.27, 260992.86, 318661.12, 392290.0, 375970.6, 404117.84, 282736.84, 382215.62, 287440.0, 218850.0, 228326.19, 284608.34, 412389.28, 337923.53, 341405.88, 332879.4, 365161.75, 389279.4, 286717.5, 383543.34, 238735.42, 299210.53, 415906.66, 269234.1, 406166.66, 431596.44, 408053.56, 400630.0, 404146.88, 408575.0, 503557.7, 411783.34, 472414.28, 480767.84, 329427.78, 266086.97, 434293.34, 322041.66, 351479.4, 476370.84, 387961.75, 515261.53, 530969.25, 543392.3, 532380.75, 371976.47, 422983.34, 211128.0]"
BeamRider,MQ(h=10),"Float32[1.8333334, 738.5714, 2.2, 476.13113, 721.75, 536.9231, 645.48834, 507.60397, 448.2963, 613.3571, 639.7241, 723.5077, 1029.7949, 2068.7827, 2423.366, 2845.2104, 3849.3547, 5703.391, 5488.3706, 5753.52, 6574.5835, 7439.905, 7274.75, 9167.0, 11344.353, 9692.737, 13236.875, 11740.0, 13844.714, 11827.333, 14814.934, 18601.54, 12287.375, 12365.625, 15194.143, 16646.572, 12060.471, 14746.0, 15988.286, 14030.667, 14278.8, 16377.857, 18009.846, 21775.334, 17515.691, 16258.714, 16058.286, 19404.166, 16773.715, 20977.4, 15004.75, 23130.666, 18525.143, 13832.0, 15814.714, 18053.076, 14526.934, 16018.0, 14756.8, 21245.2, 14163.0, 14202.8, 15828.625, 13564.235, 20326.309, 15463.125, 18173.143, 14913.25, 14986.934, 16187.571, 12809.444, 19934.77, 14434.125, 18032.572, 15624.267, 19282.0, 14949.625, 18665.143, 21521.54, 17885.0, 17301.143, 17565.732, 14863.125, 18083.285, 24138.0, 18399.715, 18688.666, 22483.691, 21889.834, 15679.6, 17463.715, 21815.0, 20172.77, 23945.834, 19783.076, 20615.691, 18081.076, 19135.285, 18811.715, 17921.334, 19422.285, 22172.0, 19329.428, 28259.273, 19928.0, 20242.715, 22242.0, 22108.924, 21122.154, 21023.846, 20891.5, 27685.637, 20568.615, 29273.273, 27920.727, 17082.0, 22094.309, 21314.715, 18675.428, 19322.0, 24581.0, 21663.846, 31839.273, 26082.182, 23420.5, 22197.23, 22076.428, 18165.428, 28679.834, 29274.363, 27300.363, 25425.834, 24982.615, 24593.0, 19019.857, 23552.77, 21940.428, 18606.268, 21229.23, 17884.25, 24909.0, 35439.0, 32603.4, 29748.545, 23884.154, 25383.0, 22993.23, 27153.5, 25979.23, 29657.637, 28604.166, 15779.529, 27874.908, 26906.666, 28402.166, 18828.0, 24047.54, 32754.6, 30245.273, 32303.273, 31870.182, 25605.273, 35401.4, 31335.455, 38355.8, 33621.0, 36396.363, 41004.223, 25152.0, 32647.637, 25988.5, 25126.77, 23964.46, 24086.46, 23770.924, 28355.0, 26758.5, 30251.334, 25267.23, 25853.54, 24415.846, 30763.637, 30527.455, 26212.5, 26249.54, 25434.46, 33733.453, 26714.309, 29198.334, 29787.818, 27529.0, 28310.0, 31307.273, 29404.666, 37766.0, 28029.166, 28936.166, 37843.8, 20245.285, 28340.834]"
BeamRider,MQ(h=10),"Float32[0.0, 548.5246, 0.0, 703.9245, 608.2909, 483.72278, 655.04, 409.69492, 569.3494, 705.2381, 546.76, 873.76746, 887.52, 1343.3062, 2393.8223, 2985.7646, 3723.3125, 5130.643, 4668.2144, 5548.4, 7328.952, 8236.471, 8794.737, 9028.8, 9970.667, 10052.111, 10278.588, 10922.353, 13277.5, 14654.143, 9655.053, 14876.286, 13523.5, 17058.334, 14458.667, 14242.533, 17784.309, 14092.134, 19730.166, 16549.846, 14128.134, 10977.294, 13314.625, 13640.0, 12610.0, 13730.5, 15111.143, 14747.6, 16697.285, 15815.857, 18330.428, 14207.066, 17101.0, 17827.076, 17372.285, 19473.572, 17440.143, 12541.125, 13330.375, 15573.066, 18272.143, 16487.715, 15558.571, 18666.924, 18932.0, 19062.834, 21596.834, 17612.154, 18119.285, 20833.666, 22950.334, 21782.0, 17432.428, 17034.857, 14497.125, 21070.834, 19329.846, 23012.666, 22826.666, 24799.334, 15653.2, 14815.2, 21718.666, 24495.818, 19612.0, 21867.385, 18659.428, 18286.572, 27253.455, 24683.0, 19018.154, 25690.666, 19951.691, 31741.8, 19399.385, 15223.2, 29707.273, 21089.666, 20732.309, 22936.5, 17966.934, 22640.5, 27382.908, 26427.273, 34506.2, 27084.363, 24338.666, 28014.363, 26673.092, 29400.0, 23657.54, 24129.166, 22246.77, 19916.143, 23381.666, 24144.334, 29438.908, 24032.334, 20729.076, 25769.666, 23441.334, 24016.334, 26632.0, 19451.428, 21232.309, 24962.166, 28411.818, 27214.908, 22632.77, 22545.691, 21407.428, 25711.834, 34496.4, 18302.934, 25706.834, 23763.23, 31671.4, 23929.834, 27942.545, 24197.0, 20257.143, 25872.166, 32243.273, 26583.092, 22031.846, 24820.924, 21030.154, 32979.8, 31275.8, 28888.727, 32961.6, 29510.727, 25606.834, 28116.182, 32807.273, 31584.0, 29388.545, 28554.363, 24360.154, 28782.182, 20752.857, 27286.666, 27507.834, 24844.77, 32203.273, 31330.182, 28843.834, 36036.4, 31423.455, 26162.309, 31113.637, 25175.334, 26416.924, 24601.54, 22906.615, 28212.0, 24626.77, 29669.166, 23356.77, 27892.5, 26126.166, 26224.166, 31990.545, 23653.54, 22323.572, 29491.0, 33441.4, 29365.0, 25856.0, 25960.334, 30956.166, 24586.166, 29989.5, 31474.908, 30724.908, 31695.455, 32634.182, 25132.0, 26637.834, 26712.0]"
BeamRider,MQ(h=10),"Float32[8.585366, 481.24326, 3.1058824, 374.0, 569.7544, 462.12344, 806.4889, 501.52942, 769.1268, 797.25, 631.15295, 820.3896, 1098.3673, 1921.5, 3107.5386, 3729.3142, 4165.1724, 4938.385, 6494.0, 4933.5557, 6788.5, 6676.8335, 7595.909, 8382.7, 8478.7, 7223.0, 8516.105, 11563.883, 11053.412, 10205.789, 9880.111, 8948.353, 11783.883, 10753.223, 12792.706, 10291.053, 12242.25, 14383.286, 10738.444, 11413.765, 11424.823, 14852.571, 15300.857, 12164.444, 13952.4, 10111.263, 15924.134, 15199.286, 14767.2, 17196.857, 11913.059, 14885.733, 14521.333, 17442.143, 16482.428, 16168.571, 20849.334, 16044.286, 15793.429, 18870.924, 17952.285, 14842.533, 12347.667, 13868.375, 15563.733, 16270.857, 13611.125, 19015.076, 13780.941, 16607.732, 18585.867, 19153.54, 16071.066, 18929.0, 14780.667, 21659.076, 18518.533, 19857.23, 23066.166, 22540.46, 19736.154, 24223.818, 16815.715, 17935.715, 18026.572, 23921.834, 21051.23, 21954.0, 24694.0, 20860.154, 22989.5, 20593.23, 24867.0, 26421.637, 16321.333, 15364.125, 21829.572, 16353.375, 16339.5, 21404.572, 17090.0, 27318.666, 26734.727, 21894.154, 19807.691, 18940.4, 21185.846, 21620.46, 29930.182, 23849.5, 18128.857, 20647.076, 19255.428, 17657.334, 15375.177, 19672.285, 24382.834, 23030.46, 21030.285, 24486.166, 24101.0, 23751.691, 18949.715, 20908.715, 16437.625, 25401.834, 17400.5, 27895.455, 24627.334, 21419.857, 22724.666, 28287.273, 26900.0, 19540.715, 21838.154, 19256.4, 22860.77, 19163.2, 21084.0, 18642.285, 21543.572, 26264.666, 26250.166, 16800.875, 21899.076, 29082.363, 24208.154, 20900.4, 27428.0, 27261.334, 29066.0, 29156.363, 25695.5, 18143.066, 22108.77, 29330.727, 20615.715, 20906.857, 26723.273, 27049.0, 25407.334, 28338.5, 22842.46, 30093.092, 26908.5, 18796.0, 20538.666, 26363.846, 22207.076, 26327.5, 24493.846, 26311.076, 22508.715, 26911.834, 25386.924, 27981.666, 23861.54, 22983.54, 23368.715, 22269.285, 19078.268, 18903.066, 27274.166, 22053.857, 33530.0, 26931.666, 33214.832, 31071.166, 48337.555, 30352.908, 28841.0, 25062.77, 22499.285, 26630.166, 35348.4, 24493.23, 23580.572, 28972.834, 27786.77, 33082.547]"
BeamRider,MQ(h=1),"Float32[237.70116, 134.7848, 25.495327, 399.28357, 521.26666, 649.1613, 1323.491, 2736.8484, 4571.5, 5731.2, 6634.364, 7837.6, 8190.2104, 6742.1, 7626.6665, 11547.529, 9915.0, 12288.375, 13561.143, 13758.0, 11514.941, 9897.066, 13072.375, 14424.267, 12821.25, 11382.235, 13707.333, 13112.235, 13084.75, 13933.2, 12593.75, 16125.0, 18022.154, 15501.143, 16830.857, 16143.429, 15103.866, 10759.765, 14663.866, 15674.934, 17561.5, 17889.857, 16971.0, 17762.428, 18847.385, 14741.866, 17611.857, 21008.46, 18076.285, 18323.54, 18622.46, 16592.268, 14702.75, 16578.857, 18120.143, 18808.857, 17210.934, 20112.924, 16879.066, 19963.334, 18266.285, 22224.0, 19106.133, 21011.857, 17062.5, 17490.572, 16580.8, 27413.092, 26656.363, 17084.8, 23586.309, 18056.285, 16110.134, 15253.059, 23822.0, 19672.309, 21526.154, 15996.75, 23949.846, 27415.166, 20551.066, 22626.154, 17984.934, 18397.467, 19984.934, 23092.154, 20352.572, 20942.615, 21156.77, 19988.857, 18352.666, 18208.666, 20040.857, 15615.765, 24531.385, 25060.5, 25219.0, 24381.166, 25692.334, 25524.0, 21482.924, 21845.715, 20033.143, 20488.533, 19816.428, 20416.4, 17296.133, 19700.4, 19867.066, 23981.23, 24868.46, 17485.625, 25800.309, 20018.857, 21185.143, 20827.0, 20823.0, 23287.857, 17204.75, 19424.133, 23484.309, 17808.8, 22700.715, 23297.23, 19226.268, 28669.834, 18522.4, 23255.385, 27238.0, 20317.867, 23389.691, 20674.133, 26598.0, 14637.579, 24862.77, 15628.556, 21174.428, 18951.334, 19342.666, 25264.77, 22795.715, 26070.0, 28973.166, 26167.23, 27208.334, 24579.857, 27655.0, 24793.846, 20418.4, 24019.0, 25198.924, 24222.285, 38467.6, 24043.076, 28955.0, 20657.2, 21416.0, 27621.666, 29741.455, 25772.5, 24165.54, 19453.467, 27980.0, 17413.445, 24003.285, 27691.5, 22513.572, 20267.875, 26082.46, 21673.143, 27330.5, 24645.846, 27552.834, 23872.0, 16732.777, 33816.4, 23840.46, 19454.268, 24955.385, 25603.691, 35575.2, 23841.691, 24696.857, 18026.875, 19702.934, 27794.334, 24375.143, 26179.54, 27130.0, 26678.924, 18429.646, 21581.125, 19788.4, 16854.111, 21539.334, 23576.285, 20886.375, 22921.857, 18802.75, 20640.133]"
BeamRider,MQ(h=1),"Float32[8.481928, 0.0, 6.769231, 699.75, 426.0706, 806.55316, 611.1781, 764.2182, 728.8372, 782.98303, 949.3571, 1347.8306, 2379.647, 1956.6842, 5263.385, 6350.174, 5066.077, 7000.5835, 7781.263, 7665.3335, 7749.619, 9364.333, 10041.647, 9044.556, 10446.235, 10620.235, 11657.25, 12229.647, 12448.625, 14326.714, 12094.125, 12113.647, 12580.5, 12651.714, 11749.0, 14971.066, 14989.2, 13812.125, 14173.733, 12864.125, 12275.0, 19407.666, 14916.143, 14642.667, 17403.572, 15668.0, 20377.5, 19120.154, 17321.834, 14564.667, 14777.6, 19248.615, 10936.0, 17004.8, 17315.857, 13735.75, 15131.2, 16963.143, 15464.134, 17270.857, 15890.533, 17196.143, 20566.77, 16113.733, 19376.46, 16292.714, 17480.428, 17176.268, 23470.0, 13997.2, 13622.471, 20544.77, 14463.647, 17368.428, 17899.572, 17744.285, 15824.4, 19480.615, 18122.572, 21132.924, 22310.5, 20782.0, 25153.455, 25731.666, 21169.54, 18712.285, 24918.5, 25559.092, 23418.166, 20086.309, 18843.428, 19392.715, 19788.133, 22383.334, 22048.0, 19660.0, 20860.0, 15521.0, 20893.846, 22559.5, 20918.0, 24344.5, 18910.428, 23430.834, 19551.385, 20220.857, 18361.285, 28337.834, 19586.428, 20326.309, 23806.334, 21161.572, 20051.076, 29191.4, 22195.385, 21167.23, 24678.0, 22040.615, 17855.715, 17460.133, 27628.5, 20886.572, 23414.924, 25384.166, 24564.77, 30613.637, 25983.5, 24159.691, 19915.857, 19805.857, 20685.428, 30154.363, 23452.309, 24419.846, 22065.846, 21081.572, 28236.334, 20228.428, 21121.572, 18388.533, 23570.0, 24322.166, 22489.846, 22788.143, 30577.455, 24876.77, 19725.867, 24806.0, 29172.545, 24488.615, 24701.54, 29554.727, 31452.363, 30957.092, 34401.2, 20653.857, 19057.732, 24287.076, 30429.818, 21813.715, 31637.092, 28110.666, 25713.691, 30058.0, 25638.834, 29892.545, 22168.309, 30280.0, 24044.924, 32185.092, 20646.0, 18737.0, 20906.857, 30173.334, 24744.154, 29135.666, 22996.143, 29328.666, 29830.545, 21093.732, 24664.154, 21492.572, 21472.143, 25917.385, 30299.834, 27684.834, 29821.5, 26026.924, 23873.285, 24884.924, 26511.846, 31144.5, 26552.615, 24456.154, 26739.666, 21585.732, 28367.54, 22006.8, 44231.555, 27736.5]"
BeamRider,MQ(h=1),"Float32[10.0, 691.85187, 41.82178, 578.4, 573.619, 363.23636, 530.2857, 594.1772, 761.2308, 729.55554, 1102.1493, 1404.5416, 1968.2858, 3443.1516, 4513.0967, 4717.4443, 5229.5835, 6929.273, 7978.1904, 8227.429, 10187.556, 8063.3335, 8970.777, 9451.053, 11480.823, 12419.066, 10049.647, 13393.066, 16425.076, 14570.533, 12467.75, 15166.308, 17613.23, 11045.777, 15067.333, 10282.556, 13235.375, 14501.143, 14558.714, 14536.714, 14730.0, 15480.923, 15366.714, 12781.412, 15585.6, 15236.533, 7990.091, 12197.177, 12450.471, 19206.154, 18265.166, 12470.353, 13114.588, 13850.875, 16772.46, 11637.294, 16007.333, 16485.143, 16668.572, 13620.125, 11816.333, 14362.8, 16368.857, 20338.924, 19418.924, 15280.0, 17371.846, 20298.924, 16438.428, 19888.309, 19471.691, 26102.0, 23541.23, 17968.572, 20110.5, 17244.857, 16264.4, 25458.5, 20699.691, 18750.46, 21544.309, 20777.846, 22376.0, 19191.857, 20989.666, 16919.857, 26167.092, 23139.166, 18408.715, 23214.0, 20749.691, 22104.166, 18955.732, 24834.334, 23067.666, 34677.2, 22212.77, 26619.0, 20929.857, 17124.0, 19740.4, 24071.0, 22138.834, 19851.54, 23341.334, 22593.076, 25697.666, 28622.545, 20068.428, 22693.5, 16635.75, 22192.154, 27358.182, 26265.273, 26906.727, 19630.572, 23661.334, 25947.666, 20390.77, 21709.691, 25921.166, 30378.0, 25971.0, 25623.0, 26353.334, 27756.5, 25931.455, 21735.846, 23663.5, 27426.0, 26383.5, 30419.455, 27014.727, 18334.268, 24792.834, 26491.54, 20868.0, 24631.385, 30859.818, 25315.846, 29174.908, 23588.924, 27250.615, 29140.0, 24120.615, 23180.857, 24449.0, 27022.334, 26865.166, 28686.5, 26347.666, 26283.385, 23295.846, 22747.846, 20727.857, 26743.166, 27299.846, 23673.143, 23511.857, 28795.0, 25774.46, 25755.834, 29046.834, 25889.0, 18976.727, 26248.0, 29315.166, 25241.076, 27347.334, 37472.6, 33858.0, 25559.846, 34372.547, 31013.273, 25044.154, 24278.615, 28115.0, 25052.615, 25798.154, 34852.668, 32625.455, 31097.818, 24331.076, 24021.846, 20849.2, 27388.834, 21461.6, 26757.23, 26502.166, 22746.715, 28664.924, 23645.428, 27978.77, 30524.182, 35461.816, 28109.334, 42935.332, 26562.834, 19844.533, 24092.309]"
Breakout,MQ(h=10),"Float32[2.625, 0.6666667, 0.16666667, 0.02917505, 3.9751554, 8.207483, 9.137381, 9.933852, 13.004951, 20.626667, 16.96923, 12.675127, 33.17094, 34.723076, 31.270493, 46.47059, 35.572727, 70.111115, 48.01, 123.18033, 53.090164, 62.03125, 38.53719, 83.11628, 76.80808, 83.70526, 74.056816, 98.37805, 112.17647, 107.82927, 112.34722, 153.57535, 291.1746, 187.43056, 291.8, 371.54053, 374.775, 383.25, 376.7143, 409.5, 369.52173, 373.875, 336.32257, 392.77777, 413.6, 464.8889, 325.5, 412.33334, 419.26666, 357.4, 428.33334, 348.0, 556.3333, 356.86667, 403.8, 583.4286, 398.0, 347.83334, 533.625, 370.5, 405.5263, 416.83334, 445.125, 582.7143, 492.4, 423.875, 358.0, 389.0, 465.66666, 402.0, 400.0, 515.8, 411.7143, 424.14285, 424.42856, 408.83334, 418.5, 406.8, 422.75, 413.33334, 371.2857, 422.66666, 475.5, 421.5, 379.83334, 383.0, 382.85715, 596.8333, 420.85715, 378.33334, 379.75, 482.4, 365.2647, 424.42856, 387.44446, 398.9, 546.625, 405.5, 488.16666, 364.66666, 389.33334, 347.33334, 366.66666, 402.2, 479.66666, 406.375, 388.2, 395.22223, 418.16666, 419.6, 344.85715, 399.25925, 423.65, 375.97778, 409.5, 509.8889, 445.85715, 778.1667, 395.11765, 529.1429, 407.8, 746.9524, 410.73914, 420.83334, 420.2857, 428.0909, 133.15463, 426.7857, 409.66666, 438.57144, 432.08334, 399.57144, 413.5, 660.4286, 405.52942, 414.375, 492.8, 403.18182, 413.5, 398.91666, 462.64285, 358.0, 422.625, 420.0, 424.45456, 461.6, 445.7143, 480.7143, 398.5, 444.61905, 412.15384, 141.79167, 400.4, 373.2857, 374.66666, 417.78787, 540.3333, 760.1875, 388.83334, 391.75, 367.78125, 393.125, 432.7143, 521.8333, 749.8333, 483.36667, 409.3846, 465.85715, 413.33334, 649.5, 446.89474, 425.375, 556.9231, 384.375, 298.4074, 559.1667, 420.7143, 357.86, 410.0889, 358.02325, 413.8, 686.625, 501.5, 426.0, 678.8, 337.83334, 770.1111, 359.875, 455.5, 500.21875, 445.38297, 502.2, 820.26086, 683.7692, 651.4286, 577.2857, 592.25, 624.8333, 534.5, 414.0]"
Breakout,MQ(h=10),"Float32[2.0, 0.5714286, 0.05263158, 0.5, 3.0017123, 3.0034246, 7.909091, 4.0019455, 16.994898, 22.585798, 9.662921, 18.35533, 17.12, 30.327435, 23.14516, 33.959183, 48.31915, 43.588783, 28.338346, 71.554344, 36.963303, 83.75532, 96.71605, 77.685394, 72.166664, 67.17978, 100.86667, 153.84, 152.63414, 145.25926, 183.04167, 208.20895, 291.55173, 109.53125, 311.27026, 373.5625, 306.0862, 390.4762, 389.22223, 404.4, 550.7143, 373.83334, 363.33334, 395.4, 395.26666, 442.66666, 371.6, 405.5, 382.5, 404.66666, 451.3, 372.7857, 333.91666, 411.0909, 338.57144, 402.57144, 374.84375, 393.0, 333.33334, 451.75, 381.5, 469.0, 392.83334, 461.7143, 406.57144, 401.1111, 416.33334, 423.4, 412.4, 376.83334, 475.7143, 349.6, 407.66666, 414.0, 424.14285, 777.0, 407.33334, 398.83334, 465.6, 666.875, 386.6, 411.2857, 382.8, 347.86487, 421.4, 376.16666, 488.6, 427.5, 496.4, 389.0, 406.5, 414.8, 407.42856, 533.5, 378.6, 487.0, 534.1667, 535.8182, 483.4, 425.5, 438.33334, 410.0, 428.0, 656.5714, 406.6, 482.4, 407.8, 355.2, 390.16666, 374.33334, 741.6, 494.8, 399.5, 489.83334, 494.0, 415.4, 626.5, 365.42856, 626.0, 664.8333, 415.2, 594.4286, 489.8, 546.5, 402.0, 506.66666, 725.1429, 672.4, 416.04166, 403.4, 411.8889, 563.6, 496.5, 636.5, 798.875, 415.0, 645.6, 624.0, 564.6667, 594.0, 412.0, 494.66666, 776.0, 413.2, 686.2857, 729.2857, 798.2222, 382.6, 497.33334, 624.5, 587.0, 835.8333, 589.4, 637.3333, 425.66666, 421.5, 343.52274, 501.0, 584.6, 518.5, 608.6, 705.625, 788.5714, 425.16666, 600.8, 452.57144, 604.2857, 497.83334, 475.66666, 717.0, 660.6, 408.0, 803.8889, 673.7143, 690.5, 424.65714, 515.4, 507.6, 396.16666, 781.86365, 509.6, 540.875, 684.86365, 747.6667, 763.4, 415.78262, 607.2857, 508.0, 820.5, 786.9167, 640.8333, 452.22223, 506.8, 851.2857, 711.6667, 184.0, 503.5, 817.0, 792.625, 486.6]"
Breakout,MQ(h=10),"Float32[2.25, 1.6, 2.0, 2.5714285, 2.9818182, 6.5681157, 4.0417495, 18.48372, 10.34874, 12.2570095, 24.073334, 12.403141, 9.739436, 18.737968, 17.347305, 33.62992, 35.866665, 40.650944, 44.625, 52.783504, 82.77333, 32.051094, 74.34884, 67.9375, 91.15294, 107.297295, 102.289154, 91.4321, 177.85715, 127.802635, 138.27849, 360.34146, 209.77109, 212.64615, 287.06494, 319.26315, 309.30908, 393.73172, 321.85715, 376.5, 405.54544, 387.33334, 325.4091, 389.33334, 358.58823, 365.0, 486.5, 376.6, 568.6, 397.5, 408.57144, 249.2, 374.14285, 659.3333, 395.0, 408.0, 387.0, 428.83334, 337.4, 683.2105, 387.2857, 555.2857, 376.8, 474.0, 370.66666, 425.0, 408.83334, 464.83334, 387.8, 420.15384, 328.66666, 392.39285, 337.14285, 448.25, 447.33334, 399.8, 421.05, 331.2, 371.0, 411.22223, 455.0, 285.66666, 400.66666, 423.69232, 381.125, 340.33334, 384.83334, 414.4, 383.5, 417.5, 413.35, 315.14285, 607.6667, 399.2, 415.6, 410.4, 675.1429, 413.33334, 413.8, 343.4, 407.72726, 427.7647, 408.2, 415.36365, 388.33334, 417.8, 350.0, 476.4, 393.0, 408.66666, 445.74075, 485.3, 430.3846, 392.0, 493.55554, 782.1111, 455.0, 379.1111, 429.68182, 410.85715, 429.63635, 384.0, 478.83334, 461.66666, 414.57144, 392.375, 410.66666, 734.2222, 376.0, 416.16666, 408.16666, 333.2143, 415.7143, 496.0, 456.0, 397.0, 437.625, 449.5, 432.27274, 473.0, 411.33334, 386.0, 408.25, 409.66666, 441.84616, 409.0, 473.08334, 409.95456, 438.375, 665.1429, 596.0, 425.25, 429.44186, 409.83334, 441.54166, 407.375, 533.8571, 421.81396, 544.0, 403.2, 593.7857, 407.5, 415.57144, 416.0, 382.4, 379.0, 507.55554, 390.66666, 408.0, 438.52942, 319.5, 406.18182, 413.33334, 515.6, 515.5, 534.9, 374.6, 558.8333, 425.1875, 455.18182, 400.65115, 334.0851, 415.42856, 549.25, 518.4, 479.2, 449.85715, 580.375, 454.0, 342.0, 362.27777, 400.2, 464.8, 343.2, 432.58066, 418.92307, 387.0, 364.0, 410.44446, 576.4286]"
